alpha,gamma,total_moves,total_reward,penalty,average_reward,reward_ratio,journeys_completed,penalty_ratio
0.1,0.1,1333,2215.5,-60.5,2155.0,1.61665416354,99,0.0453863465866
0.1,0.3,1245,2363.5,-81.0,2282.5,1.83333333333,98,0.0650602409639
0.1,0.5,1397,2748.0,-191.0,2557.0,1.83035075161,95,0.13672154617
0.1,0.6,1442,2808.0,-199.5,2608.5,1.80894590846,94,0.138349514563
0.1,0.7,1463,2869.0,-199.5,2669.5,1.82467532468,97,0.136363636364
0.1,0.8,1454,2747.0,-209.5,2537.5,1.74518569464,91,0.144085281981
0.2,0.1,1474,2271.5,-36.5,2235.0,1.51628222524,99,0.024762550882
0.2,0.3,1398,2358.0,-60.0,2298.0,1.64377682403,99,0.0429184549356
0.2,0.5,1615,2902.5,-235.0,2667.5,1.65170278638,91,0.145510835913
0.2,0.6,1359,2700.5,-190.5,2510.0,1.84694628403,96,0.140176600442
0.2,0.7,1487,2768.0,-218.0,2550.0,1.71486213853,91,0.146603900471
0.2,0.8,1483,2960.0,-197.5,2762.5,1.86277815239,100,0.133175994606
0.3,0.1,1334,2302.5,-29.5,2273.0,1.70389805097,100,0.0221139430285
0.3,0.3,1300,2281.5,-33.5,2248.0,1.72923076923,100,0.0257692307692
0.3,0.5,1475,2829.0,-211.5,2617.5,1.77457627119,99,0.143389830508
0.3,0.6,1368,2705.0,-191.0,2514.0,1.83771929825,94,0.139619883041
0.3,0.7,1550,2917.0,-213.5,2703.5,1.74419354839,91,0.137741935484
0.3,0.8,1393,2783.0,-189.0,2594.0,1.86216798277,96,0.13567839196
0.5,0.1,1318,2209.0,-19.0,2190.0,1.66160849772,100,0.0144157814871
0.5,0.3,1247,2212.5,-23.5,2189.0,1.75541299118,99,0.0188452285485
0.5,0.5,1267,2448.0,-102.0,2346.0,1.85161799526,97,0.0805051302289
0.5,0.6,1482,2906.5,-196.5,2710.0,1.8286099865,94,0.132591093117
0.5,0.7,1414,2788.5,-193.0,2595.5,1.835572843,94,0.136492220651
0.5,0.8,1389,2702.0,-197.5,2504.5,1.80309575234,95,0.14218862491
0.6,0.1,1420,2215.0,-19.0,2196.0,1.54647887324,98,0.0133802816901
0.6,0.3,1240,2312.0,-37.0,2275.0,1.83467741935,100,0.0298387096774
0.6,0.5,1233,2394.0,-86.0,2308.0,1.87185725872,97,0.0697485806975
0.6,0.6,1322,2245.0,-37.0,2208.0,1.67019667171,99,0.0279878971256
0.6,0.7,1546,2906.5,-221.5,2685.0,1.73673997413,95,0.143272962484
0.6,0.8,1517,2835.5,-218.0,2617.5,1.72544495715,92,0.14370468029
0.9,0.1,1216,2228.5,-15.5,2213.0,1.81990131579,100,0.0127467105263
0.9,0.3,1348,2222.0,-24.0,2198.0,1.63056379822,99,0.0178041543027
0.9,0.5,1263,2235.0,-15.0,2220.0,1.75771971496,99,0.0118764845606
0.9,0.6,1408,2311.5,-32.5,2279.0,1.61860795455,98,0.0230823863636
0.9,0.7,1242,2183.5,-18.0,2165.5,1.74355877617,96,0.0144927536232
0.9,0.8,1337,2688.0,-181.0,2507.0,1.87509349289,95,0.135377711294

